text,Name,Number
"When it overflows with power, the orange crystal on its body glows. It looks for underground water in caves.",Boldore,#525
"Its ear is hexagonal in shape. Compressed underground, its body is as hard as steel.",Roggenrola,#524
"They have lightning-like movements. When Zebstrika run at full speed, the sound of thunder reverberates.",Zebstrika,#523
Its mane shines when it discharges electricity. They use their flashing manes to communicate with one another.,Blitzle,#522
Males swing their head plumage to threaten opponents. The females’ flying abilities surpass those of the males.,Unfezant,#521
It can return to its Trainer’s location regardless of the distance separating them.,Tranquill,#520
"Each follows its Trainer’s orders as best it can, but they sometimes fail to understand complicated commands.",Pidove,#519
The mist emanating from their foreheads is packed with the dreams of people and Pokémon.,Musharna,#518
Munna always float in the air. People whose dreams are eaten by them forget what the dreams had been about.,Munna,#517
"The tuft on its head holds water. When the level runs low, it replenishes the tuft by siphoning up water with its tail.",Simipour,#516
The water stored inside the tuft on its head is full of nutrients. Plants that receive its water grow large.,Panpour,#515
It loves sweets because they become energy for the fire burning inside its body.,Simisear,#514
"When it is angered, the temperature of its head tuft reaches 600° F. It uses its tuft to roast berries.",Pansear,#513
"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter.",Simisage,#512
This Pokémon dwells deep in the forest. Eating a leaf from its head whisks weariness away as if by magic.,Pansage,#511
"They steal from people for fun, but their victims can’t help but forgive them. Their deceptively cute act is perfect.",Purrloin,#509
These Pokémon vanish and appear unexpectedly. Many Trainers are drawn to their beautiful form and fur.,Liepard,#510
It rescues people stranded by blizzards in the mountains. Its shaggy fur shields it from the cold.,Stoutland,#508
"It has black, cape-like fur that is very hard and decreases the amount of damage it receives.",Herdier,#507
"It faces strong opponents with great courage. But, when at a disadvantage in a fight, this intelligent Pokémon flees.",Lillipup,#506
"When they see an enemy, their tails stand high, and they spit the seeds of berries stored in their cheek pouches.",Watchog,#505
"Using food stored in cheek pouches, they can keep watch for days. They use their tails to communicate with others.",Patrat,#504
One swing of the sword incorporated in its armor can fell an opponent. A simple glare from one of them quiets everybody.,Samurott,#503
Strict training is how it learns its flowing double-scalchop technique.,Dewott,#502
"It fights using the scalchop on its stomach. In response to an attack, it retaliates immediately by slashing.",Oshawott,#501
It can throw a fire punch by setting its fists on fire with its fiery chin. It cares deeply about its friends.,Emboar,#500
"When its internal fire flares up, its movements grow sharper and faster. When in trouble, it emits smoke.",Pignite,#499
It can deftly dodge its foe’s attacks while shooting fireballs from its nose. It roasts berries before it eats them.,Tepig,#498
It can stop its opponents’ movements with just a glare. It takes in solar energy and boosts it internally.,Serperior,#497
"It moves along the ground as if sliding. Its swift movements befuddle its foes, and it then attacks with a vine whip.",Servine,#496
It is very intelligent and calm. Being exposed to lots of sunlight makes its movements swifter.,Snivy,#495
"This Pokémon brings victory. It is said that Trainers with Victini always win, regardless of the type of encounter.",Victini,#494
"It is described in mythology as the Pokémon that shaped the universe with its 1,000 arms.",Arceus,#493
It lives in flower patches and avoids detection by curling up to look like a flowering plant.,Shaymin,#492
It can lull people to sleep and make them dream. It is active during nights of the new moon.,Darkrai,#491
"Born on a cold seafloor, it will swim great distances to return to its birthplace.",Manaphy,#490
A Pokémon that lives in warm seas. It inflates the flotation sac on its head to drift and search for food.,Phione,#489
Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.,Cresselia,#488
A Pokémon that is said to live in a world on the reverse side of ours. It appears in an ancient cemetery.,Giratina,#487
There is an enduring legend that states this Pokémon towed continents with ropes.,Regigigas,#486
It dwells in volcanic caves. It digs in with its cross-shaped feet to crawl on ceilings and walls.,Heatran,#485
It has the ability to distort space. It is described as a deity in Sinnoh-region mythology.,Palkia,#484
It has the power to control time. It appears in Sinnoh-region myths as an ancient deity.,Dialga,#483
Known as “The Being of Willpower.” It sleeps at the bottom of a lake to keep the world in balance.,Azelf,#482
"Known as “The Being of Emotion.” It taught humans the nobility of sorrow, pain, and joy.",Mesprit,#481
Known as “The Being of Knowledge.” It is said that it can wipe out the memory of those who see its eyes.,Uxie,#480
Its body is composed of plasma. It is known to infiltrate electronic devices and wreak havoc.,Rotom,#479
It freezes foes with an icy breath nearly -60 degrees F. What seems to be its body is actually hollow.,Froslass,#478
It exudes strong magnetism from all over. It controls three small units called Mini-Noses.,Probopass,#476
The antenna on its head captures radio waves from the world of spirits that command it to take people there.,Dusknoir,#477
"A master of courtesy and swordsmanship, it fights using extending swords on its elbows.",Gallade,#475
"Additional software was installed to make it a better Pokémon. It began acting oddly, however.",Porygon-Z,#474
Its impressive tusks are made of ice. The population thinned when it turned warm after the ice age.,Mamoswine,#473
"If it succeeds in catching even a faint breeze properly, it can circle the globe without flapping once.",Gliscor,#472
"As a protective technique, it can completely freeze its fur to make its hairs stand like needles.",Glaceon,#471
"Just like a plant, it uses photosynthesis. As a result, it is always enveloped in clear air.",Leafeon,#470
"By churning its wings, it creates shock waves that inflict critical internal injuries to foes.",Yanmega,#469
It will never appear where there is strife. Its sightings have become rare recently.,Togekiss,#468
"It blasts fireballs of over 3,600 degrees F from the ends of its arms. It lives in volcanic craters.",Magmortar,#467
"It pushes the tips of its two tails against the foe, then lets loose with over 20,000 volts of power.",Electivire,#466
It ensnares prey by extending arms made of vines. Losing arms to predators does not trouble it.,Tangrowth,#465
It puts rocks in holes in its palms and uses its muscles to shoot them. GEODUDE are shot at rare times.,Rhyperior,#464
It wraps things with its extensible tongue. Getting too close to it will leave you soaked with drool.,Lickilicky,#463
It evolved from exposure to a special magnetic field. Three units generate magnetism.,Magnezone,#462
"They live in cold regions, forming groups of four or five that hunt prey with impressive coordination.",Weavile,#461
It whips up blizzards in mountains that are always buried in snow. It is the abominable snowman.,Abomasnow,#460
"It lives on snowy mountains. Having had little contact with humans, it is boldly inquisitive.",Snover,#459
A friendly Pokémon that captures the subtle flows of seawater using its two antennae.,Mantyke,#458
It lives on the deep-sea floor. It attracts prey by flashing the patterns on its four tail fins.,Lumineon,#457
"After long exposure to sunlight, the patterns on its tail fins shine vividly when darkness arrives.",Finneon,#456
"It attracts prey with its sweet-smelling saliva, then chomps down. It takes a whole day to eat prey.",Carnivine,#455
Its knuckle claws secrete a toxin so vile that even a scratch could prove fatal.,Toxicroak,#454
Its cheeks hold poison sacs. It tries to catch foes off guard to jab them with toxic fingers.,Croagunk,#453
It has the power in its clawed arms to make scrap of a car. The tips of its claws release poison.,Drapion,#452
It grips prey with its tail claws and injects poison. It tenaciously hangs on until the poison takes.,Skorupi,#451
It blasts internally stored sand from ports on its body to create a towering twister for attack.,Hippowdon,#450
"It lives in arid places. Instead of perspiration, it expels grainy sand from its body.",Hippopotas,#449
It has the ability to sense the auras of all things. It understands human speech.,Lucario,#448
The aura that emanates from its body intensifies to alert others if it is afraid or sad.,Riolu,#447
"It wolfs down its weight in food once a day, swallowing food whole with almost no chewing.",Munchlax,#446
"When it folds up its body and extends its wings, it looks like a jet plane. It flies at sonic speed.",Garchomp,#445
There is a long-held belief that medicine made from its scales will heal even incurable illnesses.,Gabite,#444
"It nests in small, horizontal holes in cave walls. It pounces to catch prey that stray too close.",Gible,#443
A Pokémon that was formed by 108 spirits. It is bound to a fissure in an odd keystone.,Spiritomb,#442
"It can learn and speak human words. If they gather, they all learn the same saying.",Chatot,#441
It loves round white things. It carries an egg-shaped rock in imitation of CHANSEY.,Happiny,#440
"It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokémon.",Mime Jr.,#439
It looks as if it is always crying. It is actually adjusting its body’s fluid levels by eliminating excess.,Bonsly,#438
"One caused a news sensation when it was dug up at a construction site after a 2,000-year sleep.",Bronzong,#437
Implements shaped like it were discovered in ancient tombs. It is unknown if they are related.,Bronzor,#436
It sprays a vile-smelling fluid from the tip of its tail to attack. Its range is over 160 feet.,Skuntank,#435
It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.,Stunky,#434
It emits cries by agitating an orb at the back of its throat. It moves with flouncing hops.,Chingling,#433
It is a brazen brute that barges its way into another Pokémon’s nest and claims it as its own.,Purugly,#432
It claws if displeased and purrs when affectionate. Its fickleness is very popular among some.,Glameow,#431
"Becoming active at night, it is known to swarm with numerous MURKROW in tow.",Honchkrow,#430
Its cries sound like incantations. Those hearing it are tormented by headaches and hallucinations.,Mismagius,#429
An extremely cautious Pokémon. It cloaks its body with its fluffy ear fur when it senses danger.,Lopunny,#428
It slams foes by sharply uncoiling its rolled ears. It stings enough to make a grown-up cry in pain.,Buneary,#427
"It’s drowzy in daytime, but flies off in the evening in big groups. No one knows where they go.",Drifblim,#426
"A Pokémon formed by the spirits of people and Pokémon. It loves damp, humid seasons.",Drifloon,#425
"To eat, it deftly shucks nuts with its two tails. It rarely uses its arms now.",Ambipom,#424
"It has a pliable body without any bones. If any part of its body is torn off, it grows right back.",Gastrodon,#423
"Its colors and shapes differ from region to region. In the Sinnoh region, two types are confirmed.",Shellos,#422
It blooms during times of strong sunlight. It tries to make up for everything it endured as a bud.,Cherrim,#421
"The small ball holds the nutrients needed for evolution. Apparently, it is very sweet and tasty.",Cherubi,#420
It floats using its well-developed flotation sac. It assists in the rescues of drowning people.,Floatzel,#419
It has a flotation sac that is like an inflatable collar. It floats on water with its head out.,Buizel,#418
It makes fur balls that crackle with static electricity. It stores them with berries in tree holes.,Pachirisu,#417
Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by COMBEE.,Vespiquen,#416
A Pokémon formed by three others. It busily carries sweet floral honey to VESPIQUEN.,Combee,#415
It loves the honey of flowers and steals honey collected by COMBEE.,Mothim,#414
"When BURMY evolved, its cloak became a part of this Pokémon’s body. The cloak is never shed.",Wormadam,#413
"To shelter itself from cold, wintry winds, it covers itself with a cloak made of twigs and leaves.",Burmy,#412
Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries.,Bastiodon,#411
A Pokémon that lived in jungles around 100 million years ago. Its facial hide is extremely hard.,Shieldon,#410
Its powerful head butt has enough power to shatter even the most durable things upon impact.,Rampardos,#409
It lived in jungles around 100 million years ago. Its skull is as hard as iron.,Cranidos,#408
"It attracts prey with a sweet aroma, then downs it with thorny whips hidden in its arms.",Roserade,#407
"Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen.",Budew,#406
It has eyes that can see through anything. It spots and captures prey hiding behind objects.,Luxray,#405
Its claws loose electricity with enough amperage to cause fainting. They live in small groups.,Luxio,#404
All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.,Shinx,#403
It crosses its knifelike arms in front of its chest when it cries. It can compose melodies ad lib.,Kricketune,#402
"It shakes its head back to front, causing its antennae to hit each other and sound like a xylophone.",Kricketot,#401
It makes its nest by damming streams with bark and mud. It is known as an industrious worker.,Bibarel,#400
"With nerves of steel, nothing can perturb it. It is more agile and active than it appears.",Bidoof,#399
It has a savage nature. It will courageously challenge foes that are much larger.,Staraptor,#398
It flies around forests and fields in search of bug Pokémon. It stays within a huge flock.,Staravia,#397
"They flock in great numbers. Though small, they flap their wings with great power.",Starly,#396
The three horns that extend from its beak attest to its power. The leader has the biggest horns.,Empoleon,#395
"It lives alone, away from others. Apparently, every one of them believes it is the most important.",Prinplup,#394
"Because it is very proud, it hates accepting food from people. Its thick down guards it from cold.",Piplup,#393
It uses a special kind of martial arts involving all its limbs. Its fire never goes out.,Infernape,#392
"To intimidate attackers, it stretches the fire on its tail to make itself appear bigger.",Monferno,#391
It agilely scales sheer cliffs to live atop craggy mountains. Its fire is put out when it sleeps.,Chimchar,#390
Small Pokémon occasionally gather on its unmoving back to begin building their nests.,Torterra,#389
"It lives along water in forests. In the daytime, it leaves the forest to sunbathe its treed shell.",Grotle,#388
"Made from soil, the shell on its back hardens when it drinks water. It lives along lakes.",Turtwig,#387
The DNA of a space virus underwent a sudden mutation upon exposure to a laser beam and resulted in DEOXYS. The crystalline organ on this POKéMON’s chest appears to be its brain.,Deoxys,#386
"A legend states that JIRACHI will make true any wish that is written on notes attached to its head when it awakens. If this POKéMON senses danger, it will fight without awakening.",Jirachi,#385
"RAYQUAZA lived for hundreds of millions of years in the earth’s ozone layer, never descending to the ground. This POKéMON appears to feed on water and particles in the atmosphere.",Rayquaza,#384
GROUDON has long been described in mythology as the POKéMON that raised lands and expanded continents. This POKéMON took to sleep after a cataclysmic battle with KYOGRE.,Groudon,#383
KYOGRE has the power to create massive rain clouds that cover the entire sky and bring about torrential downpours. This POKéMON saved people who were suffering from droughts.,Kyogre,#382
LATIOS has the ability to make its foe see an image of what it has seen or imagines in its head. This POKéMON is intelligent and understands human speech.,Latios,#381
"LATIAS is highly sensitive to the emotions of people. If it senses any hostility, this POKéMON ruffles the feathers all over its body and cries shrilly to intimidate the foe.",Latias,#380
REGISTEEL has a body that is harder than any kind of metal. Its body is apparently hollow. No one has any idea what this POKéMON eats.,Registeel,#379
"REGICE’s body was made during an ice age. The deep-frozen body can’t be melted, even by fire. This POKéMON controls frigid air of minus 328 degrees F.",Regice,#378
"REGIROCK was sealed away by people long ago. If this POKéMON’s body is damaged in battle, it is said to seek out suitable rocks on its own to repair itself.",Regirock,#377
"METAGROSS has four brains in total. Combined, the four brains can breeze through difficult calculations faster than a supercomputer. This POKéMON can float in the air by tucking in its four legs.",Metagross,#376
"When two BELDUM fuse together, METANG is formed. The brains of the BELDUM are joined by a magnetic nervous system. By linking its brains magnetically, this POKéMON generates strong psychokinetic power.",Metang,#375
"Instead of blood, a powerful magnetic force courses throughout BELDUM’s body. This POKéMON communicates with others by sending controlled pulses of magnetism.",Beldum,#374
"SALAMENCE came about as a result of a strong, long-held dream of growing wings. It is said that this powerful desire triggered a sudden mutation in this POKéMON’s cells, causing it to sprout its magnificent wings.",Salamence,#373
"Inside SHELGON’s armor-like shell, cells are in the midst of transformation to create an entirely new body. This POKéMON’s shell is extremely heavy, making its movements sluggish.",Shelgon,#372
"BAGON has a dream of one day soaring in the sky. In doomed efforts to fly, this POKéMON hurls itself off cliffs. As a result of its dives, its head has grown tough and as hard as tempered steel.",Bagon,#371
LUVDISC live in shallow seas in the tropics. This heart-shaped POKéMON earned its name by swimming after loving couples it spotted in the ocean’s waves.,Luvdisc,#370
RELICANTH is a POKéMON species that existed for a hundred million years without ever changing its form. This ancient POKéMON feeds on microscopic organisms with its toothless mouth.,Relicanth,#369
"GOREBYSS lives in the southern seas at extreme depths. Its body is built to withstand the enormous pressure of water at incredible depths. Because of this, this POKéMON’s body is unharmed by ordinary attacks.",Gorebyss,#368
HUNTAIL’s presence went unnoticed by people for a long time because it lives at extreme depths in the sea. This POKéMON’s eyes can see clearly even in the murky dark depths of the ocean.,Huntail,#367
CLAMPERL’s sturdy shell is not only good for protection - it is also used for clamping and catching prey. A fully grown CLAMPERL’s shell will be scored with nicks and scratches all over.,Clamperl,#366
SEALEO has the habit of always juggling on the tip of its nose anything it sees for the first time. This POKéMON occasionally entertains itself by balancing and rolling a SPHEAL on its nose.,Sealeo,#364
WALREIN’s two massively developed tusks can totally shatter blocks of ice weighing ten tons with one blow. This POKéMON’s thick coat of blubber insulates it from subzero temperatures.,Walrein,#365
"SPHEAL is much faster rolling than walking to get around. When groups of this POKéMON eat, they all clap at once to show their pleasure. Because of this, their mealtimes are noisy.",Spheal,#363
"GLALIE has a body made of rock, which it hardens with an armor of ice. This POKéMON has the ability to freeze moisture in the atmosphere into any shape it desires.",Glalie,#362
"SNORUNT live in regions with heavy snowfall. In seasons without snow, such as spring and summer, this POKéMON steals away to live quietly among stalactites and stalagmites deep in caverns.",Snorunt,#361
"WYNAUT can always be seen with a big, happy smile on its face. Look at its tail to determine if it is angry. When angered, this POKéMON will be slapping the ground with its tail.",Wynaut,#360
"Every time ABSOL appears before people, it is followed by a disaster such as an earthquake or a tidal wave. As a result, it came to be known as the disaster POKéMON.",Absol,#359
"CHIMECHO makes its cries echo inside its hollow body. When this POKéMON becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying.",Chimecho,#358
"The bunches of fruit around TROPIUS’s neck are very popular with children. This POKéMON loves fruit, and eats it continuously. Apparently, its love for fruit resulted in its own outgrowth of fruit.",Tropius,#357
"DUSCLOPS’s body is completely hollow - there is nothing at all inside. It is said that its body is like a black hole. This POKéMON will absorb anything into its body, but nothing will ever come back out.",Dusclops,#356
"DUSKULL can pass through any wall no matter how thick it may be. Once this POKéMON chooses a target, it will doggedly pursue the intended victim until the break of dawn.",Duskull,#355
BANETTE generates energy for laying strong curses by sticking pins into its own body. This POKéMON was originally a pitiful plush doll that was thrown away.,Banette,#354
"SHUPPET is attracted by feelings of jealousy and vindictiveness. If someone develops strong feelings of vengeance, this POKéMON will appear in a swarm and line up beneath the eaves of that person’s home.",Shuppet,#353
KECLEON is capable of changing its body colors at will to blend in with its surroundings. There is one exception - this POKéMON can’t change the zigzag pattern on its belly.,Kecleon,#352
CASTFORM’s appearance changes with the weather. This POKéMON gained the ability to use the vast power of nature to protect its tiny body.,Castform,#351
MILOTIC is said to be the most beautiful of all the POKéMON. It has the power to becalm such emotions as anger and hostility to quell bitter feuding.,Milotic,#350
"FEEBAS’s fins are ragged and tattered from the start of its life. Because of its shoddy appearance, this POKéMON is largely ignored. It is capable of living in both the sea and in rivers.",Feebas,#349
ARMALDO’s tough armor makes all attacks bounce off. This POKéMON’s two enormous claws can be freely extended or contracted. They have the power to punch right through a steel slab.,Armaldo,#348
ANORITH was regenerated from a prehistoric fossil. This primitive POKéMON once lived in warm seas. It grips its prey firmly between its two large claws.,Anorith,#347
CRADILY roams around the ocean floor in search of food. This POKéMON freely extends its tree trunk-like neck and captures unwary prey using its eight tentacles.,Cradily,#346
LILEEP became extinct approximately a hundred million years ago. This ancient POKéMON attaches itself to a rock on the seafloor and catches approaching prey using tentacles shaped like flower petals.,Lileep,#345
CLAYDOL are said to be dolls of mud made by primitive humans and brought to life by exposure to a mysterious ray. This POKéMON moves about while levitating.,Claydol,#344
BALTOY moves while spinning around on its one foot. Primitive wall paintings depicting this POKéMON living among people were discovered in some ancient ruins.,Baltoy,#343
"CRAWDAUNT has an extremely violent nature that compels it to challenge other living things to battle. Other life-forms refuse to live in ponds inhabited by this POKéMON, making them desolate places.",Crawdaunt,#342
CORPHISH were originally foreign POKéMON that were imported as pets. They eventually turned up in the wild. This POKéMON is very hardy and has greatly increased its population.,Corphish,#341
"WHISCASH is extremely territorial. Just one of these POKéMON will claim a large pond as its exclusive territory. If a foe approaches it, it thrashes about and triggers a massive earthquake.",Whiscash,#340
"BARBOACH’s sensitive whiskers serve as a superb radar system. This POKéMON hides in mud, leaving only its two whiskers exposed while it waits for prey to come along.",Barboach,#339
"SOLROCK is a new species of POKéMON that is said to have fallen from space. It floats in air and moves silently. In battle, this POKéMON releases intensely bright light.",Solrock,#338
"LUNATONE was discovered at a location where a meteorite fell. As a result, some people theorize that this POKéMON came from space. However, no one has been able to prove this theory so far.",Lunatone,#337
SEVIPER shares a generations-long feud with ZANGOOSE. The scars on its body are evidence of vicious battles. This POKéMON attacks using its sword-edged tail.,Seviper,#336
Memories of battling its arch-rival SEVIPER are etched into every cell of ZANGOOSE’s body. This POKéMON adroitly dodges attacks with incredible agility.,Zangoose,#335
"ALTARIA dances and wheels through the sky among billowing, cotton-like clouds. By singing melodies in its crystal-clear voice, this POKéMON makes its listeners experience dreamy wonderment.",Altaria,#334
SWABLU has light and fluffy wings that are like cottony clouds. This POKéMON is not frightened of people. It lands on the heads of people and sits there like a cotton-fluff hat.,Swablu,#333
"During the daytime, CACTURNE remains unmoving so that it does not lose any moisture to the harsh desert sun. This POKéMON becomes active at night when the temperature drops.",Cacturne,#332
"CACNEA lives in arid locations such as deserts. It releases a strong aroma from its flower to attract prey. When prey comes near, this POKéMON shoots sharp thorns from its body to bring the victim down.",Cacnea,#331
"FLYGON is nicknamed “the elemental spirit of the desert.” Because its flapping wings whip up a cloud of sand, this POKéMON is always enveloped in a sandstorm while flying.",Flygon,#330
"To make prey faint, VIBRAVA generates ultrasonic waves by vigorously making its two wings vibrate. This POKéMON’s ultrasonic waves are so powerful, they can bring on headaches in people.",Vibrava,#329
"TRAPINCH’s nest is a sloped, bowl-like pit dug in sand. This POKéMON patiently waits for prey to tumble down the pit. Its giant jaws have enough strength to crush even boulders.",Trapinch,#328
"All the SPINDA that exist in the world are said to have utterly unique spot patterns. The shaky, tottering steps of this POKéMON give it the appearance of dancing.",Spinda,#327
"GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this POKéMON uses its special power, its snorting breath grows labored.",Grumpig,#326
"SPOINK bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this POKéMON cannot afford to stop bouncing - if it stops, its heart will stop.",Spoink,#325
"TORKOAL digs through mountains in search of coal. If it finds some, it fills hollow spaces on its shell with the coal and burns it. If it is attacked, this POKéMON spouts thick black smoke to beat a retreat.",Torkoal,#324
"CAMERUPT has a volcano inside its body. Magma of 18,000 degrees F courses through its body. Occasionally, the humps on this POKéMON’s back erupt, spewing the superheated magma.",Camerupt,#323
"NUMEL is extremely dull witted - it doesn’t notice being hit. However, it can’t stand hunger for even a second. This POKéMON’s body is a seething cauldron of boiling magma.",Numel,#322
"WAILORD is the largest of all identified POKéMON up to now. This giant POKéMON swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth.",Wailord,#321
WAILMER’s nostrils are located above its eyes. This playful POKéMON loves to startle people by forcefully snorting out seawater it stores inside its body out of its nostrils.,Wailmer,#320
"Nicknamed “the bully of the sea,” SHARPEDO is widely feared. Its cruel fangs grow back immediately if they snap off. Just one of these POKéMON can thoroughly tear apart a supertanker.",Sharpedo,#319
CARVANHA’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this POKéMON.,Carvanha,#318
"When SWALOT spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this POKéMON gulps it down whole with its cavernous mouth.",Swalot,#317
"Virtually all of GULPIN’s body is its stomach. As a result, it can swallow something its own size. This POKéMON’s stomach contains a special fluid that digests anything.",Gulpin,#316
ROSELIA shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms. The aroma of this POKéMON brings serenity to living things.,Roselia,#315
"ILLUMISE attracts a swarm of VOLBEAT using a sweet fragrance. Once the VOLBEAT have gathered, this POKéMON leads the lit-up swarm in drawing geometric designs on the canvas of the night sky.",Illumise,#314
"With the arrival of night, VOLBEAT emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This POKéMON is attracted by the sweet aroma of ILLUMISE.",Volbeat,#313
MINUN is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.,Minun,#312
"PLUSLE always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this POKéMON shorts out its body to create the crackling noises of sparks to show its joy.",Plusle,#311
"MANECTRIC is constantly discharging electricity from its mane. The sparks sometimes ignite forest fires. When it enters a battle, this POKéMON creates thunderclouds.",Manectric,#310
ELECTRIKE stores electricity in its long body hair. This POKéMON stimulates its leg muscles with electric charges. These jolts of power give its legs explosive acceleration performance.,Electrike,#309
"It is said that through meditation, MEDICHAM heightens energy inside its body and sharpens its sixth sense. This POKéMON hides its presence by merging itself with fields and mountains.",Medicham,#308
"MEDITITE undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this POKéMON always loses its concentration and focus. As a result, its training never ends.",Meditite,#307
AGGRON claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This POKéMON vigilantly patrols its territory at all times.,Aggron,#306
LAIRON tempers its steel body by drinking highly nutritious mineral springwater until it is bloated. This POKéMON makes its nest close to springs of delicious water.,Lairon,#305
"This POKéMON has a body of steel. To make its body, ARON feeds on iron ore that it digs from mountains. Occasionally, it causes major trouble by eating bridges and rails.",Aron,#304
"MAWILE’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, MAWILE chomps it with its gaping jaws.",Mawile,#303
"SABLEYE lead quiet lives deep inside caverns. They are feared, however, because these POKéMON are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness.",Sableye,#302
"DELCATTY prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this POKéMON eats and sleeps whenever it decides, its daily routines are completely random.",Delcatty,#301
SKITTY has the habit of becoming fascinated by moving objects and chasing them around. This POKéMON is known to chase after its own tail and become dizzy.,Skitty,#300
"NOSEPASS’s magnetic nose is always pointed to the north. If two of these POKéMON meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another.",Nosepass,#299
"AZURILL spins its tail as if it were a lasso, then hurls it far. The momentum of the throw sends its body flying, too. Using this unique action, one of these POKéMON managed to hurl itself a record 33 feet.",Azurill,#298
"HARIYAMA practices its straight-arm slaps in any number of locations. One hit of this POKéMON’s powerful, openhanded, straight-arm punches could snap a telephone pole in two.",Hariyama,#297
"MAKUHITA is tenacious - it will keep getting up and attacking its foe however many times it is knocked down. Every time it gets back up, this POKéMON stores more energy in its body for evolving.",Makuhita,#296
"EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this POKéMON violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow.",Exploud,#295
LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This POKéMON’s round ears serve as loudspeakers.,Loudred,#294
"Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention. However, if this POKéMON senses danger, it starts crying at an earsplitting volume.",Whismur,#293
"SHEDINJA’s hard body doesn’t move - not even a twitch. In fact, its body appears to be merely a hollow shell. It is believed that this POKéMON will steal the spirit of anyone peering into its hollow body from its back.",Shedinja,#292
"NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this POKéMON was long believed to be invisible.",Ninjask,#291
NINCADA lives underground for many years in complete darkness. This POKéMON absorbs nutrients from the roots of trees. It stays motionless as it waits for evolution.,Nincada,#290
"SLAKING spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this POKéMON reluctantly moves to another spot.",Slaking,#289
VIGOROTH is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This POKéMON’s stress level rises if it can’t be moving constantly.,Vigoroth,#288
"SLAKOTH lolls around for over twenty hours every day. Because it moves so little, it does not need much food. This POKéMON’s sole daily meal consists of just three leaves.",Slakoth,#287
"BRELOOM closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This POKéMON’s fighting technique puts boxers to shame.",Breloom,#286
"SHROOMISH live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This POKéMON feeds on compost that is made up of fallen, rotted leaves.",Shroomish,#285
MASQUERAIN intimidates enemies with the eyelike patterns on its antennas. This POKéMON flaps its four wings to freely fly in any direction - even sideways and backwards - as if it were a helicopter.,Masquerain,#284
"From the tips of its feet, SURSKIT secretes an oil that enables it to walk on water as if it were skating. This POKéMON feeds on microscopic organisms in ponds and lakes.",Surskit,#283
"GARDEVOIR has the ability to read the future. If it senses impending danger to its TRAINER, this POKéMON is said to unleash its psychokinetic energy at full power.",Gardevoir,#282
It is said that a KIRLIA that is exposed to the positive emotions of its TRAINER grows beautiful. This POKéMON controls psychokinetic powers with its highly developed brain.,Kirlia,#281
"RALTS senses the emotions of people using the horns on its head. This POKéMON rarely appears before people. But when it does, it draws closer if it senses that the person has a positive disposition.",Ralts,#280
PELIPPER is a flying transporter that carries small POKéMON and eggs inside its massive bill. This POKéMON builds its nest on steep cliffs facing the sea.,Pelipper,#279
WINGULL has the habit of carrying prey and valuables in its beak and hiding them in all sorts of locations. This POKéMON rides the winds and flies as if it were skating across the sky.,Wingull,#278
"SWELLOW flies high above our heads, making graceful arcs in the sky. This POKéMON dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by SWELLOW’s clawed feet, preventing escape.",Swellow,#277
